Package           Version Location                                   Installer
----------------- ------- ------------------------------------------ ---------
build             1.6.0   C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
colorama          0.4.6   C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
coverage          7.16.0  C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
iniconfig         2.3.0   C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
nodeenv           1.10.0  C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
packaging         26.3    C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
pip               26.1.2  C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
pluggy            1.6.0   C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
predictor-core    3.2.1   C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
Pygments          2.21.0  C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
pyproject_hooks   1.2.0   C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
pyright           1.1.411 C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
pytest            9.1.1   C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
PyYAML            6.0.3   C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
ruff              0.16.5  C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
stocks-predictor  0.2.0   C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
typing_extensions 4.16.0  C:\q\tmp.vBUgsMEMt2\venv\Lib\site-packages pip
